Bank Height (%),keff,keff unc,Lifetime (us),Lifetime unc (us),Beff,Beff unc,B_1,B_2,B_3,B_4,B_5,B_6,L_1,L_2,L_3,L_4,L_5,L_6,half life (s),E_1,E_2,E_3,E_4,E_5,E_6,E_1 unc,E_2 unc,E_3 unc,E_4 unc,E_5 unc,E_6 unc,B_3 unc,L_3 unc,B_4 unc,L_4 unc,B_5 unc,L_5 unc,B_6 unc,L_6 unc,B_1 unc,L_1 unc,B_2 unc,L_2 unc
0,0.96026,0.00027,53.56377,0.72762,0.00766,0.00043,0.00019,0.00167,0.0012,0.00292,0.0012,0.00048,0.01334,0.03271,0.12073,0.3029,0.85045,2.8552,0.24277,0.40029,0.47572,0.43965,0.56092,0.52038,0.54051,0.00681,0.0031,0.00302,0.00274,0.00448,0.00759,0.00016,1.00E-05,0.00026,1.00E-05,0.00018,7.00E-05,0.0001,0.00038,5.00E-05,0,0.00023,0
5,0.961,0.00026,53.30913,0.64162,0.00735,0.00043,0.00024,0.00115,0.00148,0.00258,0.00122,0.00068,0.01334,0.03271,0.12075,0.30293,0.85053,2.85475,0.24281,0.40153,0.47494,0.43807,0.5607,0.51831,0.54582,0.0067,0.00307,0.00299,0.00273,0.00442,0.00774,0.0002,1.00E-05,0.00026,1.00E-05,0.00018,7.00E-05,0.00015,0.00036,8.00E-05,0,0.00015,0
10,0.96232,0.00021,52.74317,0.60877,0.00684,0.00039,0.00034,0.00132,0.0012,0.00266,0.00092,0.00041,0.01334,0.03271,0.12075,0.30294,0.85047,2.85465,0.24281,0.40413,0.47183,0.44312,0.55632,0.5234,0.54627,0.0067,0.00311,0.00305,0.00273,0.00448,0.00755,0.00016,1.00E-05,0.00025,1.00E-05,0.00014,7.00E-05,8.00E-05,0.00037,0.00011,0,0.00016,0
15,0.96436,0.00022,53.70239,0.63734,0.00749,0.00042,0.00023,0.00145,0.00132,0.00272,0.00144,0.00034,0.01334,0.03271,0.12074,0.30293,0.85036,2.85448,0.24283,0.39838,0.47012,0.43975,0.55279,0.51939,0.52995,0.00674,0.003,0.00302,0.00272,0.00446,0.00748,0.00017,1.00E-05,0.00026,1.00E-05,0.0002,7.00E-05,7.00E-05,0.00035,7.00E-05,0,0.00018,0
20,0.96661,0.00023,53.0012,0.68763,0.00704,0.00041,0.00029,0.00113,0.00101,0.00267,0.00122,0.00071,0.01334,0.03271,0.12075,0.3029,0.85045,2.85506,0.24278,0.40752,0.46995,0.4443,0.55546,0.52506,0.54468,0.00669,0.00308,0.00308,0.00271,0.00447,0.00747,0.00015,1.00E-05,0.00025,1.00E-05,0.00016,7.00E-05,0.00016,0.00037,9.00E-05,0,0.00017,0
25,0.97005,0.00024,53.72515,0.62128,0.00732,0.0004,0.0002,0.00124,0.00117,0.00299,0.00132,0.0004,0.01334,0.03271,0.12074,0.30289,0.85049,2.8553,0.24276,0.40682,0.46989,0.44119,0.56103,0.518,0.53747,0.00691,0.00305,0.00306,0.00275,0.00439,0.00766,0.00016,1.00E-05,0.00025,1.00E-05,0.00017,7.00E-05,0.0001,0.00038,6.00E-05,0,0.00016,0
30,0.97429,0.00027,53.24269,0.60059,0.00797,0.00044,0.00036,0.00146,0.00142,0.00296,0.00126,0.00052,0.01334,0.03271,0.12075,0.3029,0.85037,2.85507,0.24278,0.40431,0.47256,0.44577,0.55878,0.5221,0.55387,0.00664,0.00309,0.0031,0.00274,0.00445,0.00784,0.00019,1.00E-05,0.00027,1.00E-05,0.00018,7.00E-05,0.0001,0.00038,0.00011,0,0.00018,0
35,0.97843,0.00022,53.74717,0.635,0.00651,0.00038,0.0002,0.00129,0.00119,0.00243,0.00099,0.0004,0.01334,0.03271,0.12075,0.30293,0.85036,2.85509,0.24278,0.41667,0.47392,0.44104,0.55599,0.51654,0.54977,0.00699,0.00305,0.00306,0.00273,0.00447,0.00759,0.00016,1.00E-05,0.00022,1.00E-05,0.00014,7.00E-05,0.0001,0.00037,7.00E-05,0,0.00019,0
40,0.98377,0.00022,52.37813,0.55323,0.00706,0.00041,0.00022,0.00139,0.00116,0.00254,0.00131,0.00043,0.01334,0.03271,0.12074,0.3029,0.8504,2.85491,0.24279,0.40219,0.47036,0.44483,0.55525,0.51784,0.54913,0.00678,0.00306,0.00305,0.00272,0.0044,0.00781,0.00017,1.00E-05,0.00024,1.00E-05,0.00018,7.00E-05,9.00E-05,0.00039,7.00E-05,0,0.00019,0
45,0.98868,0.00023,54.63733,0.70366,0.00774,0.00044,0.00034,0.00163,0.00115,0.00296,0.00127,0.00038,0.01334,0.03271,0.12075,0.30289,0.85044,2.85506,0.24278,0.41764,0.4779,0.43844,0.55673,0.5174,0.54145,0.00665,0.00307,0.003,0.00275,0.00449,0.00761,0.00016,1.00E-05,0.00026,1.00E-05,0.00019,7.00E-05,8.00E-05,0.00039,9.00E-05,0,0.00022,0
50,0.99335,0.00023,53.38315,0.66541,0.00707,0.00039,0.0003,0.00153,0.00125,0.00258,0.00101,0.0004,0.01334,0.03272,0.12075,0.30289,0.85045,2.85486,0.2428,0.40359,0.47375,0.44395,0.55448,0.52049,0.53968,0.00677,0.00307,0.00299,0.00273,0.00441,0.00757,0.00017,1.00E-05,0.00023,1.00E-05,0.00014,7.00E-05,8.00E-05,0.00035,9.00E-05,0,0.00019,0
55,0.99861,0.00023,52.91687,0.62282,0.00647,0.00036,0.00028,0.00101,0.00078,0.00248,0.00137,0.00055,0.01334,0.03272,0.12076,0.30289,0.85037,2.8552,0.24277,0.41345,0.47268,0.44065,0.556,0.51622,0.53745,0.00657,0.0031,0.00304,0.00272,0.00445,0.00775,0.00013,1.00E-05,0.00022,1.00E-05,0.00017,7.00E-05,0.00012,0.00041,8.00E-05,0,0.00012,0
60,1.00308,0.00022,52.34263,0.60292,0.00747,0.00041,0.00025,0.00145,0.00153,0.00277,0.00105,0.00043,0.01334,0.03271,0.12075,0.30292,0.85037,2.85527,0.24276,0.40729,0.47167,0.43835,0.55827,0.51752,0.53969,0.00679,0.00308,0.00301,0.00274,0.00438,0.00747,0.00019,1.00E-05,0.00025,1.00E-05,0.00016,7.00E-05,0.0001,0.00039,7.00E-05,0,0.00018,0
65,1.00792,0.00022,53.02127,0.66601,0.00694,0.00039,0.00026,0.00104,0.00142,0.00273,0.00118,0.00032,0.01334,0.03271,0.12073,0.30291,0.85041,2.85537,0.24275,0.40544,0.47569,0.44647,0.55797,0.51551,0.54256,0.00673,0.00314,0.00306,0.00275,0.00438,0.00765,0.0002,1.00E-05,0.00023,1.00E-05,0.00016,7.00E-05,7.00E-05,0.0004,7.00E-05,0,0.00015,0
70,1.01197,0.00021,52.27818,0.62623,0.00734,0.0004,0.00029,0.00132,0.00114,0.00294,0.00115,0.0005,0.01334,0.03272,0.12075,0.30291,0.85034,2.85515,0.24277,0.41378,0.47359,0.44217,0.55693,0.52058,0.53625,0.00686,0.00307,0.00303,0.00272,0.00449,0.00748,0.00014,1.00E-05,0.00026,1.00E-05,0.00016,7.00E-05,0.0001,0.00037,0.0001,0,0.00018,0
75,1.01497,0.00024,52.26808,0.59547,0.00748,0.0004,0.00027,0.00123,0.0014,0.00297,0.00109,0.00052,0.01334,0.03271,0.12075,0.30294,0.85039,2.8545,0.24283,0.39501,0.47408,0.44539,0.5614,0.52334,0.55553,0.00676,0.00308,0.00313,0.00276,0.00449,0.00787,0.00019,1.00E-05,0.00026,1.00E-05,0.00015,7.00E-05,0.00011,0.00035,7.00E-05,0,0.00015,0
80,1.01873,0.00024,51.03844,0.54847,0.00748,0.0004,0.00027,0.00142,0.00128,0.00295,0.00121,0.00035,0.01334,0.03271,0.12075,0.30289,0.85042,2.85457,0.24282,0.4064,0.47017,0.44532,0.55607,0.52202,0.53006,0.00697,0.00303,0.00306,0.00269,0.00438,0.00742,0.00016,1.00E-05,0.00026,1.00E-05,0.00016,7.00E-05,8.00E-05,0.00035,7.00E-05,0,0.00019,0
85,1.02149,0.00021,50.59735,0.56848,0.00673,0.00038,0.00018,0.00127,0.00117,0.00267,0.00095,0.00048,0.01334,0.03272,0.12076,0.3029,0.85032,2.85494,0.24279,0.42171,0.47377,0.4427,0.55594,0.51806,0.54611,0.00709,0.00305,0.00303,0.00272,0.0044,0.00749,0.00016,1.00E-05,0.00024,1.00E-05,0.00013,6.00E-05,0.00011,0.00035,6.00E-05,0,0.00016,0
90,1.02382,0.00024,51.35902,0.54881,0.00743,0.0004,0.00038,0.00129,0.00132,0.00292,0.00105,0.00047,0.01334,0.03271,0.12075,0.3029,0.85036,2.855,0.24278,0.40647,0.46845,0.44236,0.55947,0.51306,0.53245,0.00678,0.00305,0.00302,0.00274,0.0044,0.00744,0.00019,1.00E-05,0.00025,1.00E-05,0.00015,7.00E-05,0.00011,0.00036,0.0001,0,0.00015,0
95,1.02551,0.00021,50.57885,0.52359,0.00651,0.0004,0.00024,0.0012,0.00109,0.0024,0.00126,0.00031,0.01334,0.03272,0.12074,0.30291,0.85028,2.85427,0.24285,0.40268,0.47571,0.44276,0.55935,0.51966,0.54507,0.00683,0.00313,0.00303,0.00275,0.00442,0.00752,0.00015,1.00E-05,0.00027,1.00E-05,0.00017,6.00E-05,7.00E-05,0.00032,6.00E-05,0,0.00016,0
100,1.02653,0.00023,51.03463,0.53821,0.00707,0.00039,0.00019,0.00143,0.00133,0.00277,0.0009,0.00044,0.01334,0.03271,0.12074,0.30289,0.85039,2.85538,0.24275,0.41014,0.4722,0.44463,0.55615,0.51411,0.54413,0.00696,0.00304,0.0031,0.00272,0.00437,0.00767,0.0002,1.00E-05,0.00024,1.00E-05,0.00013,7.00E-05,0.0001,0.00039,5.00E-05,0,0.00016,0
